Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,T?nh Thành,Vùng Mi?n,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
3767,CA-2018-163153,3/21/2019,3/25/2018,TNT,DM-12955,Dario Medina,Corporate,Viet Nam,Hà T?nh,Mi?n Trung,OFF-AR-10001868,Office Supplies,Binders,Prang Dustless Chalk Sticks,30912,1,0.2,11592
7118,CA-2016-143168,10/18/2017,10/23/2016,UPS,IG-15085,Ivan Gibson,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,30912,1,0.2,10819.2
9383,CA-2016-154158,12/23/2017,12/27/2016,UPS,CC-12670,Craig Carreira,Consumer,Viet Nam,Hà N?i,Mi?n B?c,OFF-AR-10001868,Office Supplies,Binders,Prang Dustless Chalk Sticks,30912,1,0.2,11592
5857,CA-2017-112214,8/5/2018,8/11/2017,TNT,AH-10690,Anna Häberlin,Corporate,Viet Nam,Hà N?i,Mi?n B?c,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,31326,1,0.8,-50121.6
6598,CA-2016-169257,6/6/2017,6/12/2016,TNT,SV-20785,Stewart Visinsky,Consumer,Viet Nam,B?n Tre,Mi?n Tây Nam B?,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,31395,1,0.7,-20930
6990,CA-2019-165099,12/11/2020,12/13/2019,FEDEX,DK-13375,Dennis Kane,Consumer,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-AP-10001634,Office Supplies,Binders,Hoover Commercial Lightweight Upright Vacuum,32016,2,0.8,-86443.2
9225,CA-2019-121160,11/4/2020,11/4/2019,DHL,FM-14290,Frank Merwin,Home Office,Viet Nam,??ng Tháp,Mi?n Tây Nam B?,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Pens,32384,2,0.8,-53433.6
7357,CA-2018-114748,10/9/2019,10/14/2018,TNT,MZ-17335,Maria Zettner,Home Office,Viet Nam,Phú Yên,Mi?n Trung,OFF-AR-10001315,Office Supplies,Binders,Newell 310,32384,1,0.2,3643.2
2214,CA-2019-129378,10/1/2020,10/2/2019,FEDEX,NS-18505,Neola Schneider,Consumer,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,33120,1,0.2,11592
1066,CA-2017-161263,4/16/2018,4/21/2017,TNT,TS-21160,Theresa Swint,Corporate,Viet Nam,Hà Giang,Mi?n B?c,OFF-FA-10003059,Office Supplies,Envelopes,Assorted Color Push Pins,33304,1,0.2,5411.9
4782,CA-2016-159310,11/7/2017,11/12/2016,TNT,SC-20725,Steven Cartwright,Consumer,Viet Nam,Hà Nam,Mi?n B?c,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",33948,3,0.8,-50922
9305,US-2017-163433,4/18/2018,4/22/2017,UPS,MP-17965,Michael Paige,Corporate,Viet Nam,Cà Mau,Mi?n Tây Nam B?,OFF-BI-10000320,Office Supplies,Binders,GBC Plastic Binding Combs,33948,1,0.8,-52619.4
3214,CA-2018-132409,5/26/2019,6/1/2018,TNT,TH-21235,Tiffany House,Corporate,Viet Nam,Tuyên Quang,Mi?n B?c,OFF-AR-10001919,Office Supplies,Binders,"OIC #2 Pencils, Medium Soft",34592,1,0.2,3891.6
8723,CA-2018-120824,6/12/2019,6/16/2018,UPS,AW-10930,Arthur Wiediger,Home Office,Viet Nam,Qu?ng Nam,Mi?n Trung,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Pens Hooks, 14 7/8"" x 11"", Executive Red",35052,2,0.8,-61341
7495,US-2019-160836,9/11/2020,9/16/2019,TNT,CC-12475,Cindy Chapman,Consumer,Viet Nam,??ng Nai,Mi?n ?ông Nam B?,OFF-AP-10001626,Office Supplies,Binders,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",35788,2,0.8,-96627.6
7901,CA-2019-128363,8/13/2020,8/18/2019,TNT,DC-12850,Dan Campbell,Consumer,Viet Nam,Hà N?i,Mi?n B?c,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,36432,2,0.2,10929.6
5541,US-2019-150595,5/22/2020,5/26/2019,TNT,LE-16810,Laurel Elliston,Consumer,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Pens",36616,2,0.8,-60416.4
262,US-2019-155299,6/8/2020,6/12/2019,TNT,Dl-13600,Dorris liebe,Corporate,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-AP-10002203,Office Supplies,Binders,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,37352,2,0.8,-102718
5343,US-2016-168501,11/21/2017,11/27/2016,TNT,JK-15325,Jason Klamczynski,Corporate,Viet Nam,Hà T?nh,Mi?n Trung,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,37536,1,0.2,12668.4
4246,CA-2019-117702,11/28/2020,12/4/2019,TNT,LS-16975,Lindsay Shagiari,Home Office,Viet Nam,Thanh Hóa,Mi?n Trung,OFF-AR-10004582,Office Supplies,Binders,BIC Brite Liner Grip Highlighters,37720,1,0,16974
2728,CA-2019-119193,12/22/2020,12/24/2019,FEDEX,SK-19990,Sally Knutson,Consumer,Viet Nam,Thanh Hóa,Mi?n Trung,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,37743,1,0.7,-30194.4
6819,CA-2019-163860,12/28/2020,1/1/2020,TNT,LO-17170,Lori Olson,Corporate,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,38640,5,0.8,-61824
62,CA-2018-111682,6/17/2019,6/18/2018,FEDEX,TB-21055,Ted Butterfield,Consumer,Viet Nam,B?n Tre,Mi?n Tây Nam B?,OFF-AR-10001868,Office Supplies,Binders,Prang Dustless Chalk Sticks,38640,1,0,19320
8766,CA-2017-107083,11/21/2018,11/27/2017,TNT,BB-11545,Brenda Bowman,Corporate,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,39008,2,0.8,-58512
8980,CA-2017-150413,10/19/2018,10/24/2017,UPS,CS-11860,Cari Schnelling,Consumer,Viet Nam,Thanh Hóa,Mi?n Trung,OFF-BI-10000404,Office Supplies,Binders,Avery Printable Repositionable Plastic Tabs,39560,1,0.8,-65274
8926,CA-2018-168032,1/30/2019,2/3/2018,TNT,DF-13135,David Flashing,Consumer,Viet Nam,An Giang,Mi?n Tây Nam B?,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,39744,3,0.8,-61603.2
8983,CA-2018-110898,3/6/2019,3/12/2018,TNT,LC-16870,Lena Cacioppo,Consumer,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,39744,4,0.8,-63590.4
1225,CA-2018-126004,12/4/2019,12/5/2018,FEDEX,BM-11140,Becky Martin,Consumer,Viet Nam,V?nh Phúc,Mi?n B?c,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,39744,1,0.2,13910.4
1069,US-2019-139955,9/28/2020,9/30/2019,UPS,CM-12160,Charles McCrossin,Consumer,Viet Nam,C?n Th?,Mi?n Tây Nam B?,OFF-SU-10001935,Office Supplies,Scissors,Staple remover,40112,1,0.2,-8022.4
8318,CA-2019-130904,4/11/2020,4/16/2019,TNT,HM-14980,Henry MacAllister,Consumer,Viet Nam,Hà N?i,Mi?n B?c,OFF-AR-10000422,Office Supplies,Binders,Pencil and Crayon Sharpener,40296,1,0.2,3525.9
4006,US-2017-168732,12/10/2018,12/16/2017,TNT,KM-16660,Khloe Miller,Consumer,Viet Nam,Bà R?a - V?ng Tàu,Mi?n ?ông Nam B?,OFF-AR-10003087,Office Supplies,Binders,Staples in misc. colors,40940,1,0,11463.2
102,CA-2018-158568,8/29/2019,9/2/2018,TNT,RB-19465,Rick Bensley,Home Office,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,41124,3,0.8,-69910.8
3765,CA-2019-125878,2/25/2020,3/2/2019,TNT,MH-18025,Michelle Huthwaite,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,41124,3,0.8,-69910.8
8221,CA-2016-120775,10/3/2017,10/7/2016,TNT,RD-19930,Russell D'Ascenzo,Consumer,Viet Nam,Lai Châu,Mi?n B?c,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,41124,3,0.8,-69910.8
7792,CA-2018-108364,12/19/2019,12/24/2018,TNT,BP-11050,Barry Pond,Corporate,Viet Nam,Phú Th?,Mi?n B?c,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,41400,5,0.8,-66240
3416,CA-2018-116540,9/2/2019,9/2/2018,DHL,SS-20590,Sonia Sunley,Consumer,Viet Nam,Kiên Giang,Mi?n Tây Nam B?,OFF-FA-10002676,Office Supplies,Envelopes,Colored Push Pins,41630,1,0,14986.8
5527,CA-2019-166933,4/24/2020,4/28/2019,TNT,MG-17890,Michael Granlund,Home Office,Viet Nam,Hà Giang,Mi?n B?c,OFF-FA-10002676,Office Supplies,Envelopes,Colored Push Pins,41630,1,0,14986.8
4872,CA-2019-164042,5/23/2020,5/27/2019,TNT,KL-16645,Ken Lonsdale,Consumer,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-FA-10000840,Office Supplies,Envelopes,OIC Thumb-Tacks,41952,2,0.2,14158.8
8716,CA-2019-121678,11/16/2020,11/20/2019,UPS,BM-11650,Brian Moss,Corporate,Viet Nam,S?n La,Mi?n B?c,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,41952,1,0.7,-32163.2
5480,CA-2016-101770,3/31/2017,4/4/2016,TNT,KB-16240,Karen Bern,Corporate,Viet Nam,??ng Tháp,Mi?n Tây Nam B?,OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,42987,1,0.7,-30090.9
1202,CA-2018-114727,7/18/2019,7/24/2018,TNT,LS-16945,Linda Southworth,Corporate,Viet Nam,?i?n Biên,Mi?n B?c,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,43056,3,0.7,-33009.6
7312,CA-2017-162761,10/9/2018,10/13/2017,TNT,SC-20575,Sonia Cooley,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,43056,2,0.7,-30139.2
8184,CA-2019-155642,5/18/2020,5/22/2019,TNT,BM-11575,Brendan Murry,Corporate,Viet Nam,Hà N?i,Mi?n B?c,FUR-FU-10001918,Furniture,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,43516,1,0.6,-22845.9
6110,CA-2018-150007,9/11/2019,9/16/2018,TNT,AS-10090,Adam Shillingsburg,Consumer,Viet Nam,B?c Giang,Mi?n B?c,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,43884,3,0.8,-74602.8
4757,CA-2019-169817,9/21/2020,9/25/2019,TNT,EB-13870,Emily Burns,Consumer,Viet Nam,Ninh Thu?n,Mi?n Trung,OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,43884,2,0.7,-35107.2
4547,CA-2017-126557,7/12/2018,7/17/2017,UPS,RL-19615,Rob Lucas,Consumer,Viet Nam,?i?n Biên,Mi?n B?c,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,44344,2,0.8,-68733.2
7718,CA-2017-149636,1/6/2018,1/12/2017,TNT,SP-20620,Stefania Perrino,Corporate,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,44574,2,0.7,-31201.8
2071,CA-2018-146521,7/21/2019,7/23/2018,UPS,CC-12610,Corey Catlett,Corporate,Viet Nam,H?u Giang,Mi?n Tây Nam B?,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,44643,1,0.7,-29762
3304,US-2016-159926,11/18/2017,11/22/2016,TNT,CS-11950,Carlos Soltero,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,44712,3,0.7,-32788.8
4225,CA-2018-108644,9/30/2019,10/3/2018,FEDEX,SJ-20215,Sarah Jordon,Consumer,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Pens Hooks, 9 1/2"" x 11"", Light Blue",45172,2,0.8,-74533.8
7068,CA-2018-114209,5/21/2019,5/26/2018,TNT,AS-10285,Alejandro Savely,Corporate,Viet Nam,H?i D??ng,Mi?n B?c,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Pens Hooks, 9 1/2"" x 11"", Light Blue",45172,2,0.8,-74533.8
7991,US-2018-117793,8/23/2019,8/29/2018,TNT,MA-17560,Matt Abelman,Home Office,Viet Nam,B?c Giang,Mi?n B?c,TEC-AC-10003433,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,45540,2,0,20493
9546,CA-2016-166590,10/29/2017,11/2/2016,TNT,NC-18625,Noah Childs,Corporate,Viet Nam,Qu?ng Tr?,Mi?n Trung,TEC-AC-10003433,Technology,Accessories,Maxell 4.7GB DVD+R 5/Pack,45540,2,0,20493
3770,CA-2016-153913,12/16/2017,12/20/2016,UPS,KB-16585,Ken Black,Corporate,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-FA-10000490,Office Supplies,Envelopes,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",45632,2,0.2,15400.8
1359,CA-2019-160045,4/26/2020,4/27/2019,FEDEX,LB-16735,Larry Blacks,Consumer,Viet Nam,Kom Tum,Mi?n Trung,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",45724,1,0.6,-33149.9
4188,CA-2019-112536,5/18/2020,5/23/2019,TNT,SG-20890,Susan Gilcrest,Corporate,Viet Nam,Bình Ph??c,Mi?n ?ông Nam B?,OFF-BI-10002571,Office Supplies,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",45908,1,0.8,-75748.2
1451,US-2017-160150,7/19/2018,7/20/2017,FEDEX,TS-21085,Thais Sissman,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,46575,1,0.7,-31050
3334,CA-2019-122595,12/14/2020,12/20/2019,TNT,GM-14455,Gary Mitchum,Home Office,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,FUR-FU-10002963,Furniture,Furnishings,"Master Caster Door Stop, Gray",46736,1,0.6,-30378.4
9390,US-2019-127292,1/19/2020,1/23/2019,TNT,RM-19375,Raymond Messe,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,46920,1,0,22052.4
8444,US-2018-155173,3/6/2019,3/10/2018,TNT,JB-16045,Julia Barnett,Home Office,Viet Nam,?à N?ng,Mi?n Trung,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,46989,1,0.7,-34458.6
5441,US-2019-153633,11/13/2020,11/18/2019,UPS,TC-21295,Toby Carlisle,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-AR-10002335,Office Supplies,Binders,DIXON Oriole Pencils,47472,1,0.2,3560.4
6056,CA-2018-113551,8/18/2019,8/20/2018,FEDEX,NF-18385,Natalie Fritzler,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,47564,1,0.8,-78480.6
5175,CA-2019-106432,10/19/2020,10/24/2019,TNT,CA-12265,Christina Anderson,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10002799,Office Supplies,Binders,"SlimView Poly Binder, 3/8""",47656,2,0.8,-81015.2
281,US-2017-161991,9/26/2018,9/28/2017,UPS,SC-20725,Steven Cartwright,Consumer,Viet Nam,Thanh Hóa,Mi?n Trung,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,47840,5,0.8,-78936
6086,US-2018-132577,11/22/2019,11/27/2018,TNT,JE-15475,Jeremy Ellison,Consumer,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-LA-10000262,Office Supplies,Pens,Avery 494,48024,1,0.2,15607.8
9809,CA-2019-145093,7/21/2020,7/26/2019,TNT,PT-19090,Pete Takahito,Consumer,Viet Nam,H?ng Yên,Mi?n B?c,OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",48576,2,0.8,-77721.6
4436,CA-2018-163398,5/3/2019,5/8/2018,TNT,CB-12415,Christy Brittain,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,50186,1,0.8,-82806.9
226,CA-2017-163055,8/9/2018,8/16/2017,TNT,DS-13180,David Smith,Corporate,Viet Nam,Qu?ng Ngãi,Mi?n Trung,OFF-AR-10001026,Office Supplies,Binders,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",590600,1,0,22264
7178,CA-2019-133067,5/4/2020,5/10/2019,TNT,MY-18295,Muhammed Yedwab,Corporate,Viet Nam,Hà T?nh,Mi?n Trung,OFF-BI-10002897,Office Supplies,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",50646,2,0.7,-35452.2
5782,CA-2017-155586,12/12/2018,12/16/2017,UPS,XP-21865,Xylona Preis,Consumer,Viet Nam,Hà T?nh,Mi?n Trung,OFF-AR-10001547,Office Supplies,Binders,Newell 311,50830,1,0,13724.1
4879,US-2018-131891,7/29/2019,7/31/2018,FEDEX,PW-19240,Pierre Wener,Consumer,Viet Nam,Ti?n Giang,Mi?n Tây Nam B?,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",50922,3,0.7,-33948
8047,CA-2018-113600,12/15/2019,12/17/2018,UPS,SH-20395,Shahid Hopkins,Consumer,Viet Nam,Hà N?i,Mi?n B?c,OFF-BI-10000201,Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",50922,3,0.7,-33948
8451,CA-2019-125451,10/23/2020,10/24/2019,FEDEX,AH-10075,Adam Hart,Corporate,Viet Nam,Hà T?nh,Mi?n Trung,OFF-AP-10002906,Office Supplies,Binders,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,51060,1,0,15318
7763,CA-2019-156391,9/26/2020,9/28/2019,FEDEX,SL-20155,Sara Luxemburg,Home Office,Viet Nam,?à N?ng,Mi?n Trung,OFF-AR-10003251,Office Supplies,Binders,Prang Drawing Pencil Set,51152,1,0.2,12788
4101,US-2019-102288,6/19/2020,6/23/2019,TNT,ZC-21910,Zuschuss Carroll,Consumer,Viet Nam,Ninh Thu?n,Mi?n Trung,OFF-AP-10004655,Office Supplies,Binders,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",52072,1,0.8,-119765.6
3308,CA-2016-104738,12/30/2017,1/1/2017,UPS,SP-20620,Stefania Perrino,Corporate,Viet Nam,Hà N?i,Mi?n B?c,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,52578,3,0.8,-84124.8
4324,US-2017-147662,2/14/2018,2/19/2017,TNT,KB-16315,Karl Braun,Consumer,Viet Nam,H? Chí Minh,Mi?n ?ông Nam B?,OFF-BI-10002160,Office Supplies,Binders,Acco Hanging Data Binders,52578,2,0.7,-38557.2
4530,CA-2018-134691,11/14/2019,11/18/2018,TNT,KC-16540,Kelly Collister,Consumer,Viet Nam,Bình D??ng,Mi?n ?ông Nam B?,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,52808,2,0.8,-89773.6
4921,CA-2019-101728,8/19/2020,8/23/2019,TNT,SC-20575,Sonia Cooley,Consumer,Viet Nam,Hà Giang,Mi?n B?c,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,52808,2,0.8,-89773.6
2502,CA-2019-131618,6/17/2020,6/20/2019,FEDEX,LS-17200,Luke Schmidt,Corporate,Viet Nam,Bình Ph??c,Mi?n ?ông Nam B?,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,52992,4,0.8,-82137.6
